Country,CandidateTreatmentYear,IsActual,MeanPostGapPct,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
Chile,1993,False,-40.00544757938946,45.742951979114636,40.241085288632256,0.8797220893615605
Chile,1994,False,-39.890526548601024,45.07129055062496,40.13145781260329,0.8903995719298706
Chile,1995,False,-39.8828776183744,44.11854846879539,40.1334448523482,0.9096728302549252
Chile,1996,False,-39.91081081998128,43.339455164769056,40.17136015662824,0.9269004421930024
Chile,1997,False,-39.75569567751755,43.35934015261793,40.02137463611931,0.923016228919778
Chile,1998,False,-39.499750731822054,43.61788569927778,39.76030847744622,0.9115597383965948
Chile,1999,False,-39.164219468571034,43.952854926446555,39.40805174085728,0.8965982256853433
Chile,2000,False,-38.76812744375856,44.27615402073445,38.984476615186914,0.8804847096008056
Chile,2001,False,-38.557207245648826,44.14184889533307,38.774676641901564,0.8784107963815047
Chile,2002,False,-38.33094001376217,44.017846236951364,38.54918722287754,0.8757626853291363
Chile,2003,False,-38.05966153653183,43.93607481262607,38.275044687145176,0.871153029722763
Chile,2004,False,-37.72894460686345,43.894551720624754,37.93524342326232,0.8642358091434311
Chile,2005,False,-37.41704182273414,43.796984896744235,37.61819435432316,0.8589220112528707
Chile,2006,False,-37.23806809198237,43.564935867512325,37.448162546599676,0.8595941162517787
Chile,2007,False,-37.1263334552346,43.2934053829404,37.35087718442879,0.8627382589577202
Chile,2008,False,-36.74153229200239,43.20878208688983,36.96122652872999,0.8554100519288775
Chile,2009,False,-1.506281198577309,3.463627899353055,2.3970532581037416,0.6920643116864457
Chile,2010,True,-14.881390240475142,8.771023746943678,15.630390740550014,1.7820486173004069
